Filename                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
audit\event.rs                         231               231     0.00%          17                17     0.00%         189               189     0.00%           0                 0         -
audit\sink.rs                            5                 5     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
broker\error.rs                         33                33     0.00%           3                 3     0.00%          17                17     0.00%           0                 0         -
broker\service.rs                     1795              1795     0.00%          81                81     0.00%        1156              1156     0.00%           0                 0         -
cli\application.rs                     319               319     0.00%          35                35     0.00%         227               227     0.00%           0                 0         -
cli\args.rs                              5                 5     0.00%           1                 1     0.00%           5                 5     0.00%           0                 0         -
cli\commands\mod.rs                    744               744     0.00%          20                20     0.00%         329               329     0.00%           0                 0         -
cli\credential_file.rs                 177               177     0.00%          10                10     0.00%         117               117     0.00%           0                 0         -
cli\credential_recovery.rs             270               270     0.00%          16                16     0.00%         153               153     0.00%           0                 0         -
cli\dotenv_file.rs                      44                44     0.00%           1                 1     0.00%          22                22     0.00%           0                 0         -
cli\error.rs                            91                91     0.00%           9                 9     0.00%          49                49     0.00%           0                 0         -
cli\example_file.rs                     37                37     0.00%           5                 5     0.00%          34                34     0.00%           0                 0         -
cli\mod.rs                              48                48     0.00%           4                 4     0.00%          30                30     0.00%           0                 0         -
cli\password.rs                        167               167     0.00%           9                 9     0.00%         103               103     0.00%           0                 0         -
cli\profile_file.rs                     49                49     0.00%           4                 4     0.00%          30                30     0.00%           0                 0         -
crypto\aead.rs                         118               118     0.00%          15                15     0.00%         120               120     0.00%           0                 0         -
crypto\digest.rs                        19                19     0.00%           2                 2     0.00%           8                 8     0.00%           0                 0         -
crypto\error.rs                         10                10     0.00%           1                 1     0.00%           8                 8     0.00%           0                 0         -
crypto\kdf.rs                           65                65     0.00%           6                 6     0.00%          61                61     0.00%           0                 0         -
crypto\password.rs                      13                13     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
crypto\random.rs                        13                13     0.00%           2                 2     0.00%           8                 8     0.00%           0                 0         -
dotenv\mod.rs                          299                66    77.93%          22                 6    72.73%         177                50    71.75%           0                 0         -
fuzzing.rs                              45                40    11.11%          10                 9    10.00%          30                27    10.00%           0                 0         -
identity\caller.rs                     135               135     0.00%          17                17     0.00%          86                86     0.00%           0                 0         -
identity\credential.rs                  18                18     0.00%           6                 6     0.00%          18                18     0.00%           0                 0         -
identity\name.rs                        22                22     0.00%           3                 3     0.00%          16                16     0.00%           0                 0         -
identity\throttle.rs                   167               167     0.00%          21                21     0.00%         149               149     0.00%           0                 0         -
